Entity,year,diabetes,obesity,calories
Egypt,2026,8.191031,20.986494,2815.7485
Egypt,2027,8.262033,23.269043,3022.4048
Egypt,2028,9.135377,24.886686,3147.7478
Egypt,2029,9.519649,24.014315,3110.9646
Egypt,2030,9.182464,20.580994,2954.8523
Egypt,2031,7.4109874,20.946085,2936.974
El Salvador,2022,7.8866477,15.206713,2971.884
El Salvador,2023,7.7359633,13.146056,2916.985
El Salvador,2024,8.448277,16.330389,3139.631
El Salvador,2025,6.7297044,19.252878,3255.7808
El Salvador,2026,6.6073194,11.291594,2591.5437
El Salvador,2027,7.3811355,12.400177,2390.7864
El Salvador,2028,10.958451,22.686068,2760.7666
El Salvador,2029,11.923019,22.501577,3008.677
El Salvador,2030,12.341329,21.800339,3058.8452
El Salvador,2031,10.002339,18.233274,2902.8599
Estonia,2022,9.43235,18.947397,2658.2412
Estonia,2023,7.2797246,14.363734,2535.0266
Estonia,2024,8.145905,15.55853,2582.3457
Estonia,2025,7.6095443,20.23373,2791.541
Estonia,2026,6.795401,23.17784,2965.9724
Estonia,2027,6.7631526,20.41004,2861.547
Estonia,2028,7.872069,12.669626,2532.2754
Estonia,2029,8.0186,15.6083555,2727.9932
Estonia,2030,7.88814,17.080994,2785.789
Estonia,2031,8.042408,13.164052,2856.5303
Eswatini,2022,7.196839,16.143156,2865.836
Eswatini,2023,6.3953066,13.9847555,2928.234
Eswatini,2024,5.921016,5.1131787,2739.7004
Eswatini,2025,6.171242,0.57411385,2215.645
Eswatini,2026,8.286204,7.423084,2427.8608
Eswatini,2027,6.279469,5.135182,2416.356
Eswatini,2028,6.536134,4.2653418,2190.3196
Eswatini,2029,5.803896,5.4991374,2271.955
Eswatini,2030,7.7752223,11.677427,2625.2896
Eswatini,2031,9.794361,15.327273,3080.3315
Ethiopia,2022,8.167146,16.728367,2843.3606
Ethiopia,2023,7.911628,17.426067,2991.4954
Ethiopia,2024,7.0950394,17.232672,3048.6377
Ethiopia,2025,6.655227,15.1477165,3000.0554
Ethiopia,2026,6.739884,11.89651,2937.541
